job_title,salary,years_of_experience,submission_deadline,job_description,job_requirements,benefits,company_address
Nhân Viên Hành Chính - Bộ Phận Kỹ Thuật Sản Suất,Thỏa thuận,1-3 năm,15/01/2023,"I. Nhân viên Hành chính - mảng quản lý nhân sự và ngân sách về nhân sự- Công việc nhân sự: o Theo dõi và sắp xếp lịch làm việc phù hợp cho CNV của BP và đảm bảo đúng Luật phápo Theo dõi việc chấm công, đăng ký và theo dõi làm thêm, làm luân phiên cho CNV BP và các công việc khác liên quan đến nhân sự của bộ phận- Chịu trách nhiệm tổng hợp ngân sách của bộ phận liên quan đến công cụ dụng cụ, phòng ban, nhân sự …- Tiến hành đặt mua các hạng mục liên quan trong ngân sách của phòng ban cũng như ước tính và theo dõi, thúc đẩy hàng về đúng thời hạn theo kế hoạch - Chịu trách nhiệm quản lý và đăng ký mua văn phòng phẩm, công cụ dụng cụ, các thiết bị thiết yếu cho bộ phận- Thực hiện các công việc khác theo yêu cầu của quản lý. II. Nhân viên Hành chính - mảng quản lý ngân sách sửa chữa bảo dưỡng, năng lượng- Thực hiện tổng hợp các hạng mục trong ngân sách như bảo dưỡng sửa chữa, năng lượng … của bộ phận- Tiến hành đặt mua vật tư của bộ phận, theo dõi và thúc đẩy hàng về đúng kế hoạch- Phụ trách công việc, thủ tục liên quan đến kiểm định, thanh toán của bộ phận- Thực hiện các công việc khác theo yêu cầu của cấp trênLưu ý: Ứng viên ứng tuyển ghi rõ vị trí ứng tuyển","- Nam, nữ, tuổi từ 23-30, tốt nghiệp chuyên ngành Nhân sự, hành chính, Lao động (với vị trí I), ngành Kinh tế, tài chính, kế toán (với vị trí II) … hoặc các chuyên ngành khác liên quan- Có ít nhất 1 năm kinh nghiệm liên quan đến vị trí tuyển dụng, ưu tiên ứng viên đã làm trong doanh nghiệp sản xuất tại các công ty Nhật Bản- Sử dụng thành thạo Word, Excel, Powerpoint- Có kỹ năng trình bày, tổng hợp, phân tích, làm báo cáo tốt- Khả năng sắp xếp và giải quyết công việc tốt- Chịu được áp lực công việc, kỹ năng làm việc nhóm cũng như làm việc độc lập","- Nam, nữ, tuổi từ 23-30, tốt nghiệp chuyên ngành Kinh tế, tài chính, kế toán … hoặc các chuyên ngành khác liên quan- Có ít nhất 1 năm kinh nghiệm liên quan đến vị trí tuyển dụng, ưu tiên ứng viên đã làm trong doanh nghiệp sản xuất tại các công ty Nhật Bản- Sử dụng thành thạo Word, Excel, Powerpoint- Có kỹ năng trình bày, tổng hợp, phân tích, làm báo cáo tốt- Khả năng sắp xếp và giải quyết công việc tốt- Chịu được áp lực công việc, kỹ năng làm việc nhóm cũng như làm việc độc lập",Lô F1 - KCN Thăng Long - Kim Chung - Đông Anh - Hà Nội
Nhân Viên Kinh Doanh Nam Tại Long Hồ - Vĩnh Long - Hoa Hồng Cao,"10,000,000 - 15,000,000",Không yêu cầu kinh nghiệm,30/12/2022,"- Sử dụng công cụ Marketing online & offline để tìm kiếm và xây dựng mối quan hệ khách hàng.- Giới thiệu, giải đáp, tư vấn, hỗ trợ công tác bàn giao xe, hồ sơ cho khách hàng.- Thường xuyên nâng cao các kỹ năng giao tiếp, tư vấn, làm việc đội nhóm để ngày càng chuyên nghiệp hơn.- Chăm sóc khách hàng hiện tại, xây dựng và thiết lập hệ thống khách hàng tiềm năng, khách hàng mục tiêu.- Trực bán hàng tại Showroom theo sự phân công của Trưởng phòng.","- Không yêu cầu kinh nghiệm, sẽ được đào tạo theo lộ trình bài bản.- Ưu tiên có kinh nghiệm bán hàng lĩnh vực ô tô - xe máy, BĐS, thiết bị điện tử,...- Giới tính: Nam, dưới 30 tuổi- Năng động, ham học hỏi, đam mê kinh doanh, chủ động trong công việc.","- Hoa hồng xe: Từ 1.000.000 - 20.000.000 triệu/xe- Hoa hồng ngân hàng: 0.7 – 1%/ hợp đồng vay- Hoa hồng bảo hiểm xe: 0.5 – 2 triệu/hợp đồng BH- Hoa hồng thùng xe options: 35%/Lợi nhuận- Chi phí dịch vụ đăng kí, đăng kiểm: 20%/Lợi nhuận=> Tổng thu nhập từ 10.000.000 - 20.000.000 triệu++ /tháng (LƯƠNG CƠ BẢN +HOA HỒNG +THƯỞNG NÓNG)- Lương tháng 13, 12 ngày nghỉ phép năm, sinh nhật, thưởng các ngày lễ.- Tham gia nhiều hoạt động: Birthday party, X’mas Party, Company Trip, Gala Dinner,…- Thưởng hiệu quả kinh doanh, thưởng vượt chỉ tiêu theo Tháng, Quý, Năm.- Cơ hội thăng tiến lên các vị trí: Trưởng Phòng, Quản Lý,...- Tham gia các khóa đào tạo & thực hành các kỹ năng bán hàng, sản phẩm theo quy trình Công ty.- Review lương hàng năm, tối thiểu 1 năm/ 1 lần.","68QL1A, P.An Phú Đông, Q12, Tp.HCM"
Thực Tập Sinh Sale,"1,000,000 - 5,000,000",Không yêu cầu kinh nghiệm,28/12/2022,"- Tìm kiếm khách hàng tiềm năng theo hướng dẫn, training của Leader- Telesale tư vấn về dịch vụ của công ty: website, app, phần mềm- Chăm sóc khách hàng hiện tại và khách hàng tiềm năng","- Sinh viên năm cuối, sắp ra trường.- Có laptop cá nhân, chủ động phương tiện đi lại.- Chăm chỉ, ham học hỏi, giao tiếp tốt.","- Được hỗ trợ lương + KPI nếu ký được HĐ.- Xem xét lên Nhân viên chính thức sau thời gian thực tập.- Được đào tạo kỹ năng chuyên môn, kiến thức dịch vụ hàng tuần- Làm việc trong môi trường trẻ trung, hỗ trợ phát huy khả năng, phát triển công việc tối đa.- Hỗ trợ xác nhận dấu công ty đối với SV thực tập cần xác nhận","52 Hoàng Kế Viêm, phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng"
Chuyên Viên Kinh Doanh Truyền Thông Dịch Vụ Số - Trung Tâm Dịch Vụ Số Mobifone Hồ Chí Minh,"20,000,000 - 40,000,000",Dưới 1 năm,30/12/2022,"- Phân tích thị trường, đánh giá chính sách phát triển kinh doanh các sản phẩm cạnh tranh.- Theo dõi, phân tích đánh giá số liệu liên quan dịch vụ để đưa ra các giải pháp phát triển kinh doanh.- Xây dựng và triển khai các chính sách kinh doanh, truyền thông phát triển dịch vụ.- Xây dựng tài liệu về dịch vụ, đào tạo kênh bán, giới thiệu dịch vụ đến khách hàng mục tiêu.","- Tốt nghiệp Đại học chuyên ngành kinh tế, quản trị kinh doanh, marketing… tại các trường Đại học công lập (Hệ chính quy – Bằng 1) và các trường Đại học nước ngoài có uy tín.- Có kinh nghiệm trong lĩnh vực kinh doanh các dịch vụ số hoặc lĩnh vực marketing là 1 lợi thế- Các điều kiện khác:+ Tuổi: Dưới 35 tuổi.+ Sử dụng thành thạo tin học văn phòng.","-Môi trường làm việc tốt, năng động, chuyên nghiệp.Trải nghiệm các hoạt động văn hoá, thể thao, du xuân, nghỉ mát hè trong và ngoài nước,…-Bình quân thu nhập từ 250 – 300 triệu/năm với nhiều chính sách đãi ngộ: hỗ trợ ăn trưa, thưởng lễ tết, các ngày kỷ niệm. Tham gia các chương trình bảo hiểm sức khoẻ tại các Công ty Bảo hiểm lớn, có uy tín (Bảo Việt, PVI,…)-Thưởng lễ, Tết lên đến hơn 60 triệu 1 năm-Thường xuyên tham dự các khoá đào tạo phong phú, đa dạng nhằm giúp CBCNV không ngừng phát triển bản thân, nâng cao kỹ năng cũng như chuyên môn nghiệp vụ.","Tầng 16 (tháp B) tòa nhà CTM Complex, số 139 Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam"
Trưởng Nhóm Tuyển Dụng (Tuyển Mass),"15,000,000 - 20,000,000",1-3 năm,07/01/2023,"- Tổng hợp các nhu cầu tuyển dụng của các Phòng, Ban trên toàn quốc;. - Bám sát định biên nhân sự, lập kế hoạch, tổ chức triển khai công việc tuyển dụng;. - Nghiên cứu tìm hiểu nguồn lao động để có kế hoạch tuyển dụng nhằm phát huy tốt nguồn lực nhân sự, đáp ứng nhu cầu của Công ty;. - Điều hành nhóm tuyển dụng đạt hiệu quả công việc theo yêu cầu;. - Đo lường tỉ lệ nghỉ việc, tỉ lệ tuyển dụng thành công để có những phân tích, đề xuất giải pháp phù hợp cải thiện và phát triển hệ thống tuyển dụng;. - Phối kết hợp với TP. Nhân sự triển khai xây dựng Thương hiệu tuyển dụng cho Công ty;. - Thực hiện các báo cáo theo yêu cầu của Ban Giám Đốc.","1. Học vấn/ Trình độ chuyên môn: Tốt nghiệp Đại học trở lên các ngành liên quan.. 2. Kiến thức/ Kinh nghiệm:. - Am hiểu KPI, hệ thống tuyển dụng nhân sự (tuyển mass), công nghệ tuyển dụng, tìm kiếm ứng viên mới;. - Có network toàn quốc và nắm được đặc thù tuyển dụng của từng vùng miền.. - Có khả năng lập kế hoạch, quản lý, sắp xếp, triển khai, thuyết trình, giao tiếp, đàm phán…. - Có kiến thức về quản trị nhân lực, am hiểu luật lao động ;. - Thành thạo các kênh tìm kiếm ứng viên, có Networking tốt;.. - Sử dụng thành thạo các công cụ hỗ trợ trong việc lưu trữ, quản lý và sắp xếp hồ sơ ứng viên, đánh giá, theo dõi năng lực ứng viên.","- Cam kết lương tháng 13, thưởng best sales.- Phụ cấp ăn trưa 40.000 đồng/1 ngày- Thời gian làm việc linh động 40h/tuần (từ thứ 2 - thứ 6), 12 ngày nghỉ phép hưởng nguyên lương/năm.- Đóng BHXH, BHYT, BHTN, công đoàn đầy đủ.- Các chế độ phúc lợi như sinh con, hiếu hỉ, đau ốm, kết hôn.- Được Công ty đóng Bảo hiểm sức khỏe cao cấp PTI cho nhân viên và người thân lên đến 42.000.000 VNĐ/năm.- Tham gia các khóa đào tạo chuyên môn và kĩ năng mềm để phát triển định hướng nghề nghiệp.- Tham gia các hoạt động đội nhóm, ngoại khóa cũng như du lịch nghỉ mát hàng năm của công ty.- Đánh giá hiệu quả công việc hàng năm cho việc điều chỉnh lương và vị trí làm việc.","Tầng 11, Toà nhà Peakview, 36 Hoàng Cầu, Đống Đa, Hà Nội"
Nhân Viên Thủ Kho Tại Hải Phòng (8-13Tr),"5,000,000 - 10,000,000",1-3 năm,31/12/2022,"- Tạo phiếu kiểm tra chứng từ, nhập xuất hàng hóa trên phần mềm và ký nhận thực tế.- Kiểm kê số lượng hàng hóa khi xuất và nhập hàng.- Cập nhật số liệu, tình trạng hàng hóa lên hệ thống.- Điều phối hoạt động vận chuyển và giao hàng (trong cửa hàng, hoặc đối với Khách hàng)- Hướng dẫn, kèm cặp nhân viên thực hiện công việc đúng quy trình.- Kiểm tra hệ thống phòng cháy chữa cháy định kỳ.- Xây dựng các tiêu chuẩn, chính sách, quy trình, các giải pháp cải tiến vận hành và ban hành, hướng dẫn, đào tạo.- Triển khai phối hợp điều phối KPI dự án khối kho vận, quy trình nội bộ và liên phòng ban.THỜI GIAN LÀM VIỆC: 8h30-18h00","- Tốt nghiệp Trung cấp trở lên; ưu tiên các bạn chuyên ngành Kế toán, Logistics.- Tối thiểu 1 năm kinh nghiệm ở vị trí tương đương.- Sử dụng thành thạo excel.- Kỹ năng làm việc nhóm và quản lý công việc hợp lý.- Trung thực, nhiệt huyết và cầu tiến trong công việc.","- Thử việc hưởng 100% lương; đầy đủ các chế độ về BHXH, BHYT, BHTN,...- Được tham gia các lớp đào tạo kỹ năng mềm thường xuyên- Cơ hội thăng tiến, phát triển trong vòng 06 tháng- Thời gian nghỉ 4 ngày/tháng","Tầng 2, Tòa nhà Ocean Park, Số 1 Đào Duy Anh, Đống Đa, Hà Nội"
Java Team Leader,"Trên 40,000,000",3-5 năm,07/01/2023,"- Phát triển website bằng PHP/Java.- Nghiên cứu các công nghệ mới áp dụng vào dự án.- Phát triển các tính năng mới cho sản phẩm theo yêu cầu của khách hàng.- PHP/Java Developper sẽ tham gia vào việc phát triển, nâng cấp, cập nhật các sản phẩm (web, ứng dụng, phần mềm) của khách hàng, kiểm tra bảo đảm chất lượng dự án.- Quản lý team 3-5 người- Chi tiết trao đổi khi phỏng vấn","- Tốt nghiệp đại học, cao đẳng chuyên ngành IT- Có kinh nghiệm làm web với PHP/Java, Moodle từ 3 năm trở lên- Thao tác tốt với HTML, CSS, JavaScript (Jquery, Ajax), Bootstrap, JSON, XML- Có kinh nghiệm sử dụng một trong các Framework PHP: CakePHP, CodeIgniter, Laravel- Hiểu biết về MVC Framework, RESTful, OOP- Có kinh nghiệm làm việc với MySQL hoặc Postgre- Thành thạo các công cụ quản lý mã nguồn: GIT, SVN- Có kinh nghiệm làm việc trong các dự án theo mô hình Agile- Có kinh nghiệm với Python và Odoo là một lợi thếƯu tiên : - Có kinh nghiệm với lập trình C/C++, Lua script.- Có kinh nghiệm phát triển game.- Có kinh nghiệm thiết kế kiến trúc, thiết kế chi tiết phần mềm.- Giao tiếp tốt (nói/viết) bằng tiếng Anh","- Mức lương : Lương cứng cạnh tranh + thưởng dự án ( tùy năng lực), trao đổi khi phỏng vấn.- Thu nhập : 30.000.000đ – 50.000.000đ + thưởng dự án- Được đánh giá, xét thưởng định kỳ hàng năm. - Được trang bị đầy đủ thiết bị làm việc- Hưởng phúc lợi ngày sinh nhât, các ngày lễ: 2/9, 30/04, 1/5, 1/6, ..- Du lịch, nghỉ mát định kỳ hàng năm- Trợ cấp ăn trưa, xăng xe, điện thoại, công tác,..- Thời gian làm việc: từ thứ 2- thứ 6 (nghỉ Thứ 7, CN)","Số 18, Lô C2, Khu đô thị Nam Trung Yên, Đ. Mạc Thái Tông, Q. Cầu Giấy, TP. Hà Nội"
Trưởng Nhóm Kinh Doanh,"10,000,000 - 15,000,000",3-5 năm,31/12/2022,"1. Quản lý và sử dụng có hiệu quả các nguồn lực mà Công ty giao cho.2. Công tác bán hàng và chăm sóc khách hàng.- Chịu trách nhiệm tìm kiếm khách hàng tại khu vực Cần Thơ, và khu vực miền tây- Phối hợp chặt chẽ Phòng kinh doanh về Chính sách giá và các chính sách khác với các Khách hàng đang cung cấp dịch vụ và Khách hàng tiềm năng;- Chủ động chăm sóc các Khách hàng;- Thực hiện chế độ báo cáo về việc bán hàng và chăm sóc Khách hàng3. Tổ chức cung cấp dịch vụ cho Khách hàng.- Tổ chức công tác set up các công trình mới;- Tổ chức duy trì và nâng cao chất lượng dịch vụ tại khu vực được phân công;- Đại diện Công ty giải quyết các vấn đề phát sinh trong việc cung cấp dịch vụ;- Đề xuất giải pháp nâng cao chất lượng dịch vụ tại khu vực;- Thực hiện chế độ báo cáo về việc cung cấp dịch vụ;- Có trách nhiệm nhận xét đánh giá Nhân viên đối với các dự án đang phụ trách theo định kỳ hoặc đột xuất;- Thực hiện chế độ báo cáo về các vấn đề chấm công, tính lương, giải quyết phép.","- Tốt nghiệp Cao đẳng trở lên chuyên ngành Quản trị Kinh doanh, Marketing và các chuyên ngành liên quan.- Có kinh nghiệm làm việc với khách hàng B2B- Sẵn sàng làm việc trong môi trường có nhiều thử thách- Độ tuổi từ 30 – 38 tuổi- Có kinh nghiệm tối thiếu 3 năm ở vị trí tương đương","- Thu nhập hấp dẫn, cạnh tranh trên thị trường: Lương cứng ( Upto 12 triệu) + hoa hồng + thưởng trên doanh số cá nhân và doanh số nhóm- Được gặp gỡ, làm việc với chủ doanh nghiệp, nhà thầu, chủ dự án lớn như Vingroup, Sungroup, Vietcombank,…- Lộ trình thăng tiến rõ ràng- Được tham gia các chương trình đào tạo hấp dẫn, training từ những Leader, Manager giàu kinh nghiệm thực chiến- Được hưởng mọi quyền lợi theo luật lao động : Bảo hiểm PVI, BHXH, nghỉ lễ, nghỉ phép, du lịch hàng năm- Được cấp trang thiết bị, laptop khi làm việc- Làm việc từ T2 – T7 (Tháng được nghỉ 2 T7)",186 tôn thất thuyết quận 4 tphcm
Nhân Viên Kinh Doanh,"20,000,000 - 40,000,000",Dưới 1 năm,31/12/2022,"-Thực hiện việc bán hàng, mở rộng thị trường và nhà Phân Phối cho sản phẩm Dầu Nhớt (100% sản xuất tại Dubai),các sản phẩm phục vụ cho ngành dầu khí , đóng tàu , hóa chất, thực phẩm như : Pipe, Tube , fitting , mặt bích, các khớp nối ,Valves…-Tư vấn sản phẩm phù hợp cho từng nhu cầu sử dụng của khách hàng, giải đáp thắc mắc của khách hàng về sản phẩm.(Công ty có đào tạo sản phẩm).-Đàm phán , thương lượng khách hàng,nhà Phân Phối về giá cả, hợp đồng,tiến hành chốt đơn hàng và hợp tác với các nhà Phân Phối trên cả nước.-Theo dõi các đơn hàng đã ký ,tiến độ thực hiện-Chăm sóc khách hàng sau bán hàng,duy trì phát triển mối quan hệ với khách hàng hiện tại và mở rộng khách hàng mới.-Tìm hiểu thị trường Dầu Nhớt trong nước,các thương hiệu cạnh tranh trên thị trường đồng thời đề xuất các ý tưởng bán hàng nhầm đem lại hiệu quả cao trong công việc.-Các công việc khác theo sự hướng dẫn,chỉ đạo của ban Giám Đốc.","-Ít nhất 1 năm trong lĩnh vực bán hàng –kinh nghiệm lĩnh vực dầu nhớt là một lợi thế(nhưng không bắt buộc).-Tốt nghiệp CĐ/ĐH chuyên ngành :Kinh tế/ quản trị kinh doanh/kinh tế đối ngoại hoặc các chuyên ngành khác nhưng đã có kinh nghiệm thực tế trong việc bán hàng.-Kỹ năng giao tiếp tốt-Kỹ năng bán hàng và thiết lập các mối quan hệ-Không ngại khó đi thị trường ,tiếp khách -Trung thực ,đề xuất các ý kiến , ý tưởng kinh doanh nhằm phát triển sản phẩm kinh doanh.-Ngoại hình: gọn gàng , ưa nhìn.-Có xe gắn máy-Có thể uống bia...","-Thưởng nóng khi có đóng góp tích cực đem lại hiệu quả cao trong việc bán hàng,kinh doanh , -Lương cạnh tranh ,hoa hồng hấp dẫn thu nhập lên đến 30triệu/tháng-Trợ cấp ăn trưa tại công ty-Môi trường làm việc thân thiện, cơ hội thăng tiến cao-Chế độ sinh nhật,cưới hỏi cho CBNV -Tham quan ,du lịch, team building hàng năm -Tham gia BHXH theo qui định nhà nước hiện hành.-Cấp phát/trợ cấp đồng phục công ty khi là nhân viên chính thức-Cơ hội gặp gỡ các khách hàng,đối tác lớn ,xây dựng các mối quan hệ-Cơ hội du lịch nước ngoài khi đạt thành tích bán hàng xuất sắc-Và các đãi ngộ khác.","Vinhomes central park, 208 Nguyễn Hữu Cảnh , P.22,Bình thạnh"
Thực Tập Sinh Hành Chính Nhân Sự,Thỏa thuận,Không yêu cầu kinh nghiệm,31/01/2023,"Thực hiện công tác hành chính , văn thư văn phòng Hỗ trợ tuyển bổ sung nhân sựTiếp đón nhân sự mới và hoàn thiện các thủ tục nhân sự khácSoạn thảo các loại văn bản hành chính Xử lý các thủ tục liên quan đến bảo hiểm xã hộiThực hiện các nhiệm vụ khác do Trưởng bộ phận điều phối và chỉ định","Sinh viên năm 3-4chuyên ngành nhân sự hoặc các chuyên ngành liên quanSử dụng tốt các phần mềm tin học văn phòngNhiệt tình, chăm chỉ, hoà đồngLàm ít nhất 3 tháng","Hỗ trợ phí thực tập Làm việc trong môi trường chuyên nghiệp, năng động, đồng nghiệp trẻ trung và giàu nhiệt huyếtĐược hướng dẫn đào tạo trong quá trình thực tậpĐược hỗ trợ dấu mộc khi hoàn thành khóa thực tậpCó cơ hội trở thành nhân viên chính thức sau quá trình thực tập nếu năng lực phù hợp","32 đường số 6, Khu dân cư Phước Kiển, Tổ 6, ấp 5, Xã Phước Kiển, Huyện Nhà Bè, TP Hồ Chí Minh"
