job_title,years_of_experience,submission_deadline,job_description,job_requirements,benefits,company_address,salary_start,salary_end
Nhân Viên Kinh Doanh (Thu Nhập Lên Đến 30 Triệu),Không yêu cầu kinh nghiệm,29/12/2022,"- Khai thác, mở rộng, thiết lập khách hàng theo kênh bán hàng đảm trách.- Vai trò đại diện thương hiệu Công ty giao dịch với khách hàng bằng việc cung cấp giải pháp, công nghệ, sản phẩm, dịch vụ...- Thực hiện trực tiếp hoạt động bán hàng, triển khai các chương trình xúc tiến thương mại theo kế hoạch, định hướng của Công ty.- Duy trì, phát triển mối quan hệ bền vững với từng đối tượng khách hàng phụ trách bằng các phương pháp cụ thể, khác nhau.- Xây dựng kế hoạch kinh doanh tháng/quý/năm dựa trên các chiến lược kinh doanh ngắn/trung/dài hạn.","- Nam, tuổi từ 21 trở lên;- Yêu thích kinh doanh và kiếm tiền. Chưa có kinh nghiệm nhưng có tố chất kinh doanh, yêu thích tiếp xúc khách hàng, đam mê phát triển mối quan hệ bán hàng thì sẽ được đào tạo.- Có kinh nghiệm khách hàng B2B là một lợi thế.- Có bằng lái xe ô tô là 1 lợi thế.","Thu nhập- Lương cứng thỏa thuận (thấp nhất 8 triệu) + Hoa hồng hấp dẫn. Thu nhập lên đến 50 Triệu- Hỗ trợ ăn trưa 50k/bữa, xăng xe 700k /tháng, 100% miễn phí xăng xe nếu đi bằng ô tô công ty , PC điện thoại 300k/tháng.- Thưởng thi đua hàng tháng từ 1- 6 triệu, tháng nào cũng có thưởng.- Tổng thu nhập hàng tháng của các NVKD ít nhất 12 triệu, không giới hạn thu nhập - với chính sách thưởng rõ ràng đánh giá đúng năng lực.Chế độ:- Đóng BHXH khi trở thành nhân viên chính thức, được hưởng các chế độ khác theo luật LĐ Việt Nam.- Được tham gia các phong trào/hoạt động: Teambuilding, tổ chức sinh nhật; các sự kiện tổ chức hàng năm.- Môi trường làm việc năng động.","D7, KCN Nam Tân Uyên, Phường Khánh Bình, Thị xã Tân Uyên, Bình Dương","15,000,000","20,000,000"
Nhân Viên Kinh Doanh Tại Hà Nội,Không yêu cầu kinh nghiệm,06/01/2023,"- Chăm sóc data thông tin khách hàng sẵn có của công ty.- Tìm kiếm, mở rộng thị trường và thiết lập các mối quan hệ với khách hàng hoặc dự án.- Duy trì những quan hệ kinh doanh hiện có, nhận đơn đặt hàng. Thiết lập những mối quan hệ kinh doanh mới.- Thời gian làm việc: sáng từ 7h30-11h30, chiều từ 1h30-5h30, từ thứ 2 đến thứ 7. Công ty chuyên kinh doanh về lĩnh vực thang máy, thiết bị thang máy.","- Ứng viên tốt nghiệp từ Trung cấp trở lên- Nhận cả nam và nữ giới. Không yêu cầu kinh nghiệm ( Ưu tiên ứng viên mới ra trường)- Ưu tiên người có kinh nghiệm sales trong mọi lĩnh vực- Chỉ cần chịu khó, chăm chỉ, hoạt bát, nhanh nhẹn.","- Thu nhập bình quân 15.000.000 - 30.000.000/ tháng (có thể cao hơn nếu phát huy được khả năng bản thân).+ Gồm mức lương cứng : 5.000.000 – 6.000.000 (có thể thỏa thuận thêm tùy theo năng lực) + phụ cấp ăn ca 25.000/ngày + hoa hồng hợp đồng, dự án ký được.- Không bị áp doanh số.- Được hỗ trợ đào tạo bài bản để có thể làm tốt công việc nếu chưa có kinh nghiệm.- Thưởng các ngày lễ tết, các phúc lợi như sinh nhật, cưới hỏi, ốm đau,...- Các chế độ bảo hiểm xã hội và bảo hiểm y tế theo Luật Lao động.- Lương thưởng tháng 13.- Phép năm đầy đủ.- Môi trường làm việc trẻ trung, năng động, thoải mái.- Có nhiều cơ hội thăng tiến trong công việc và sự nghiệp.- Du lịch nghỉ mát hàng năm cùng công ty.","OV8.01- khu đô thị Xuân Phương, phường Xuân Phương, quận Nam Từ Liêm, Hà Nội","10,000,000","15,000,000"
Giám Đốc Trung Tâm Sme - Hồ Chí Minh,5-10 năm,31/01/2023,"Hoạch định, phát triển và quản lí việc thực hiện bán hàng và cung cấp dịch vụ của Trung TâmChịu trách nhiệm về chất lượng danh mục cho vay và NPL của Trung Tâm.Gia tăng lợi nhuận của Trung Tâm và thực hiện KPI được giaoBảo đảm tuân thủ các quy định, chính sách và hướng dẫn của VPBankQuản lý TT SME cấp 4Thương thảo và thống nhất mục tiêu/ngân sách của trung tâm với Giám đốc Vùng;Lập kế hoạch vận hành của trung tâm và rà soát, thống nhất kế hoạch này với Giám đốc Khối S&D.Phân bổ chỉ tiêu/KPI xuống cho nhân viênRà soát và kiểm soát chi phí vận hành trong hạn mức ngân sáchBổ nhiệm nhân viên Chi nhánh vào các vị trí cụ thể phù hợp với chuyên mônTuyển dụng nhân sự trong hạn mức ngân sách để thúc đẩy tăng trưởng kinh doanhChịu trách nhiệm về hoạt động bán hàng của trung tâm, bao gồm thúc đẩy doanh thu, lợi nhuận trước thuế và nâng cao hiệu quả chi phí tổng thể trong việc cung cấp dịch vụ tới khách hàngChịu trách nhiệm về chất lượng đề xuất cấp tín dụng và chất lượng của danh mục cho vay (NPL)Chịu trách nhiệm cải thiện các chỉ số hoạt động bao gồm thúc đẩy dư nợ và huy động, số lượng KH mới, số lượng sản phẩm/khách hàng và cải thiện mức độ hài lòng của khách hàngQuản lý các hoạt động bán hàng và cung cấp dịch vụ hàng ngàyĐảm bảo chất lượng, tính hiệu quả xử lý hồ sơ tín dụng (chuyển hồ sơ lên các đơn vị thẩm định, xử lý các quy trình sau duyệt). Đảm bảo thời gian xử lý tín dụng ngắn nhất cho khách hàngLập kế hoạch và triển khai các chương trình thu hút khách hàng SME/MSME mới cho trung tâmPhê duyệt chi phí tài chính trong phạm vi quyền hạnTriển khai các chương trình Marketing và sản phẩm theo hướng dẫn của Hội sở; Lập kế hoạch và triển khai các chương trình riêng của trung tâm nếu cầnQuản lý quan hệ cộng đồng và chủ động phát triển đầu mối khách hàng tiềm năng tại địa phươngĐảm bảo việc tuân thủ các quy định và hướng dẫn của VPBHuấn luyện nhân sự bán hàng bao gồm việc chủ động sử dụng CRM, bộ sản phẩm, quản lí phễu bán hàng để cải thiện hiệu quả và năng suất bán hàngTheo dõi và quản lý tình hình kinh doanh thực tế với ngân sách và chỉ tiêu của toàn bộ Trung TâmTiến hành quản lý tình kinh doanh theo chu kỳ và làm việc với các trưởng nhóm đánh giá kết quả của nhân viênLãnh đạo và hướng dẫn nhân viên thường xuyênTrực tiếp huấn luyện, đào tạo và định hướng nghề nghiệp cho nhân viên Trung TâmTạo ra một môi trường làm việc chuyên nghiệp và thân thiện","1.Trình độ và kinh nghiệmBằng đại học lĩnh vực Tài chính - Ngân hàng, Kinh tế, Quản trị kinh doanh.. hoặc cao hơnTối thiểu 5 năm kinh nghiệm, với tối thiểu 2 năm đứng đầu Phòng phục vụ khách hàng doanh nghiệp nhóm bán hàng hoặc các vị trí tương đươngKinh nghiệm thực tế về SME, ưu tiên có kinh nghiệm vị trí tương đương2. Kỹ năngAm hiểu về hoạt động dịch vụ ngân hàng SMECó tư duy kinh doanhCó khả năng lãnh đạo và quản lý xuất sắcCó tư duy kinh doanh, tư duy phục vụ khách hàngCó kỹ năng giao tiếp, thuyết trình, đào tạo và tổ chức","Thu nhập hấp dẫn, lương thưởng cạnh tranh theo năng lựcThưởng các Ngày lễ, Tết (theo chính sách ngân hàng từng thời kỳ)Được vay ưu đãi theo chính sách ngân hàng từng thời kỳChế độ ngày phép hấp dẫn theo cấp bậc công việcBảo hiểm bắt buộc theo luật lao động + Bảo hiểm VPBank care cho CBNV tùy theo cấp bậc và thời gian công tácĐược tham gia các khóa đào tạo tùy thuộc vào Khung đào tạo cho từng vị tríThời gian làm việc: từ thứ 2 – thứ 6 & 02 sáng thứ 7/ thángMôi trường làm việc năng động, thân thiện, có nhiều cơ hội học đào tạo, học hỏi và phát triển; được tham gia nhiều hoạt động văn hóa thú vị (cuộc thi về thể thao, tài năng, hoạt động teambuiding...)","89 Láng Hạ, Đống Đa, Hà Nội",Thỏa thuận,Thỏa thuận
Nhân Viên Đào Tạo,Không yêu cầu kinh nghiệm,05/01/2023,"- Lên lịch và tổ chức các lớp học, làm báo cáo tổng hợp đánh giá kết quả của các lớp học này có tham khảo ý kiến từ giảng viên và học viên- Quản lý cơ sở dữ liệu đào tạo, dữ liệu nhà cung cấp, thư viện tài liệu đào tạo- Trực tiếp thuyết trình trong các buổi đào tạo định hướng cho nhân viên mới của Tập đoàn- Tham gia soạn thảo biểu mẫu, quy trình, quy định liên quan đến các hoạt động đào tạo- Phối hợp với phòng Hành chính để chuẩn bị hậu cần cho các lớp học và liên hệ mời các cán bộ giảng viên nội bộ/giảng viên bên ngoài làm việc trong khuôn khổ các chương trình đào tạo- Thực hiện chế độ báo cáo định kỳ và báo cáo tiến độ công việc theo yêu cầu của Trưởng phòng;- Thực hiện các hạng mục công việc khác theo sự phân công của Trưởng phòng","- Linh hoạt, chủ động trong công việc- Kỹ năng thuyết trình, giải quyết vấn đề, làm việc theo nhóm và độc lập- Tốt nghiệp Đại học trở lên- Có thể sử dụng tốt powerpoint, canva...","- Được đào tạo về kiến thức sản phẩm- Làm việc trong môi trường năng động, trẻ trung, đoàn kết.- Hưởng lương, phụ cấp theo năng lực, được hưởng tiền thưởng theo kết quả kinh doanh chung- Hưởng các chế độ chính sách theo Luật Lao động, bao gồm chế độ bảo hiểm","Số 90 Vọng Hà, Hoàn Kiếm, Hà Nội","5,000,000","10,000,000"
React Native Developer (Dự Án Blockchain),1-3 năm,31/12/2022,"- Tham gia phát triển ứng dụng điện thoại trên nền tảng React Native (Android/IOS).- Hoàn thiện trải nhiệm người dùng(UX), đảm bảo tính ổn định của Mobile Apps- Thiết kế và phát triển tính năng mới. - Tham gia vào phân tích và phát triển những sản phẩm dịch vụ mới của công ty- Làm việc với backend developer, BA, thiết kế để tạo ra ứng dụng tốt nhất cho khách hàng","- Có kinh nghiệm với làm việc với React Native. Thành thạo với HTML5, CSS, JavaScript và hiểu sâu về cách trình duyệt hoạt động là bắt buộc.- Kinh nghiệm sử dụng Git.- Kinh nghiệm với: HTTP, API, REST, JSON, unit test, XSS, CSRF, sync vs. async, promise, immutability, pure function.- Kinh nghiệm debug và tối ưu hóa code cho hiệu suất ứng dụng thông qua các công cụ- Khả năng thảo luận về cách tiếp cận, đồng thời thực hiện tốt phương án thay thế cùng team.- Có kinh nghiệm qua các dự án Gamefi hoặc NFT- Làm việc nhóm hiệu quả, giao tiếp tốt, cởi mở, thân thiện, tư duy logic tốt.","- Thời gian: 8h -17h30, T2 – T6 (Nghỉ T7, CN)- Thưởng thâm niên làm việc: 5tr/năm, thưởng tháng lương 13- Gói bảo hiểm sức khỏe Bảo Việt- Thưởng hiệu suất upto 30tr/năm- Miễn phí trà, cà phê, đồ ăn vặt tại khu pantry của công ty, sử dụng sách miễn phí tại thư viện và các trò chơi giải trí: ukulele, cờ vua, cá ngựa....- Tổ chức hoạt động nội bộ các ngày lễ 8/3, 20/10, giáng sinh, sinh nhật…- Teambuilding hàng năm, gala dinner…NOTE: Cảm ơn ứng viên đã quan tâm ứng tuyển job tại Công ty, trong vòng tối đa 05 ngày mà bộ phận tuyển dụng chưa liên hệ thì rất tiếc CV bạn chưa đạt yêu cầu. Ứng viên lưu ý chủ động công việc cá nhân.","Tầng 6, tòa Ha Noi Ford, 313-313 Trường chinh - Thanh Xuân - Hà Nội","20,000,000","40,000,000"
Nhân Viên Kinh Doanh,1-3 năm,31/12/2022,"• Phát triển kênh HKD, Đại lý• Lập kế hoạch tiếp xúc khách hàng và tìm kiếm đơn hàng, chăm sóc khách hàng sau bán• Hỗ trợ nhân viên kinh doanh Huyện• Lan tỏa kênh bán hàng nội bộ• Hoạt động trade marketing.","Tốt nghiệp đại học trở lên chuyên ngành bao gồm: Quản trị kinh doanh; Kinh tế xây dựng; Xây dựng dân dụng; Kinh tế; Điện tử viễn thông; Công nghệ thông tinKinh nghiệm liên quan- Tối thiểu 1 năm kinh nghiệm trở lên làm viêc ở vị trí tương đương.- Kỹ năng điều hành, triển khai, kiểm soát tiến độ công việc.- Kỹ năng làm nhân viên kinh doanh, nhân viên sale admin","- Làm việc trong môi trường năng động, chuyên nghiệp có nhiều cơ hội thăng tiến.- Cung cấp trang thiết bị đầy đủ để phục vụ công việc.- Được đóng BHXH, BHYT, BHTN, bảo hiểm 24/24- Được hưởng các chính sách phúc lợi theo quy định của công ty + phúc lợi công đoàn.- Được đào tạo, nâng cao nghiệp vụ thường xuyên.","1C Trưng Nữ Vương, P1, TP Vĩnh Long, Vĩnh Long","5,000,000","10,000,000"
Chuyên Viên Quản Lý Sự Kiện,1-3 năm,30/12/2022,"- Tổ chức khảo sát thị hiếu khách hàng trong cùng phân khúc để đề xuất các chương trình sự kiện phù hợp theo từng giai đoạn/tháng/quý- Phối hợp với các bộ phận liên quan để đưa ra các ý tưởng và thực hiện nội dung các chương trình sự kiện.- Xây dựng proposal trình bày nội dung và kế hoạch thực hiện sự kiện trình lên lãnh đạo- Tìm kiếm, lựa chọn và đề xuất đơn vị cung cấp nhân sự hay đối tác sản xuất- Triển khai sự kiện/hội thảo theo đúng kế hoạch đã được duyệt- Điều phối, sử dụng tài chính, nhân sự, POSM hợp lý- Đảm bảo sự kiện/hội thảo được diễn ra tốt đẹp và đạt hiệu quả cao nhất.- Lập chứng từ hợp tác với các đối tác tổ chức sự kiện, các nhân sự tham gia sự kiện.- Theo quy trình thanh toán cho đối tác, nhân sự tham gia sự kiện theo quy trình của công ty- Nộp chứng từ và báo cáo theo quy định (Hàng tuần/tháng/năm)- Các công việc liên quan sự kiện theo sự phân công của giám đốc.","- Tốt nghiệp trung cấp- Tối thiểu 01 năm kinh nghiệm ở vị trí tương đương- Có kinh nghiệm tổ chức sự kiện, tham gia các hoạt động- Hiểu biết về nghiệp vụ tổ chức/quản lý sự kiện- Giao tiếp tốt, tự tin, am hiểu xã hội, sẵn sàng làm việc với cường độ cao, chịu được áp lực công việc- Kỹ năng giao tiếp, thuyết trình và đàm phán tốt, có khả năng thuyết phục, tư duy, làm việc độc lập và nhóm tốt, có tinh thần học hỏi cao- Cẩn thận, tỉ mỉ, chững chạc- Chính trực, tận tâm- Bảo mật thông tin- Chấp nhận làm thêm giờ khi có yêu cầu","Tham gia các hoạt động teambuilding, chăm lo đời sống tinh thần nhân viênCơ hội thăng tiến, trở thành những vị trí chủ chốt trong công tyĐược hưởng các chế độ phúc lợi theo quy định của công tyKhám sức khỏe tổng quátNghỉ lễ, tết, phép năm, thường xuyên tổ chức du lịch,Teambuilding, Outing DayThưởng sinh nhật, các ngày lễ, Tết, thăm hỏi ốm đau, hiếu hỉ…","119 Bùi Thị Xuân, Hai Bà Trưng, Hà Nội",Thỏa thuận,Thỏa thuận
Tổ Phó Kho Vận Tân Uyên Bd,1-3 năm,31/12/2022,"- Chịu sự chỉ đạo, điều hành trực tiếp của Tổ Trưởng, Trưởng Trung Tâm 2;- Điều phối và quản lý các hoạt động xuất nhập hàng theo ca thời gian mà quản lý, Trưởng Trung Tâm 2 giao phó.- Chịu trách nhiệm báo cáo tình hình hoạt động các nhân sự được giao quản lý;- Chịu trách nhiệm đảm bảo các chỉ tiêu chất lượng dịch vụ, an toàn kho và quy định của công ty;- Đào tạo, nâng cao trình độ nghiệp vụ, các kỹ năng cần thiết cho nhân viên để hoàn thành tốt công việc;- Đảm bảo an toàn, an ninh hàng hóa phòng cháy, cháy nổ tại bưu cục mình quản lý;- Thực hiện các công việc khác theo yêu cầu của quản lý trung lâm 2, GĐ Logistics.-Ca làm việc: 17h-4h từ Thứ 2 đến Thứ 7","- Thái độ cẩn thận, nhanh nhẹn, chịu được áp lực công việc; - Gắn bó lâu dài với công ty.-Tốt nghiệp Trung cấp-Tối thiểu 1 năm kinh nghiệm ở vị trí tương đương","- Thưởng vào các dịp Lễ, Tết trong năm;- Tham gia BHXH - BHYT - BHTN theo quy định;- Tham gia các khóa huấn luyện, đào tạo hàng năm;- Tham quan, du lịch, các hoạt động teambuilding hàng năm.",Địa chỉ: Tầng 8 - Tháp B - Tòa nhà Sông Đà - Đường Phạm Hùng - Nam Từ Liêm - Hà Nội,"10,000,000","15,000,000"
Test Leader,1-3 năm,05/01/2023,"- Chịu trách nhiệm cho chất lượng sản phẩm sau khi release/golive- Nghiên cứu yêu cầu dự án, review và phản hồi các tài liệu kỹ thuật dưới góc nhìn của testing- Lập kế hoạch test, thực hiện viết test design, quản lý test coverage- Phân công công việc, theo dõi và quản lý tiến độ và chất lượng testing- Thực hiện báo cáo kết quả test tới các bộ phận khác trong team- Phối hợp với các bộ phận khác của công ty để đảm bảo chất lượng, tiến độ dự án- Hướng dẫn, đào tạo nghiệp vụ cho các nhân sự trong team test- Thực hiện các công việc khác theo sự phân công của Quản lý trực tiếp.","- Ưu tiên ứng viên tốt nghiệp Cao đẳng, Đại học chuyên ngành: CNTT, Điện tử viễn thông, Hệ thống thông tin- Ưu tiên ứng viên có kinh nghiệm từ 02 năm trở lên ở vị trí tương đương- Thành thạo các kỹ thuật test, có kỹ năng test web/app, am hiểu về cơ sở dữ liệu. Ưu tiên ứng viên có chứng chỉ ISTQB- Kỹ năng giao tiếp;- Kỹ năng giải quyết vấn đề.- Có khả năng lập kế hoạch, triển khai thực hiện, kiểm tra, theo dõi và đánh giá;- Có khả năng tư duy phản biện;- Có khả năng thích nghi.","- Thưởng tháng lương thứ 13 + hiệu quả làm việc vào cuối năm tài chính, tổng gói thưởng lên đến 16 tháng lương- Thưởng dịp tết (tết dương và tết âm), dịp lễ (30/04-1/5; 2/9; Trung thu…) sinh nhật, hiếu hỷ…- Được tài trợ, tham gia các khóa đào tạo kỹ năng, chuyên môn hàng năm, thi lấy chứng chỉ để phục vụ cho công việc.- Review đánh giá tăng lương hàng năm- Nghỉ phép 12 ngày/năm, nghỉ ốm/nghỉ chế độ thai sản/hiếu hỉ… theo luật lao động- Làm việc tại công ty quy mô lớn, quy trình làm việc chuyên nghiệp, được khuyến khích sáng tạo và phát triển các ý tưởng mới- Môi trường trẻ, năng động, chuyên nghiệp, sếp trẻ tâm lý, đồng nghiệp thân thiện, văn hóa trao đổi thẳng thắn, cởi mở trên tinh thần hỗ trợ cùng phát triển- Dự án lớn áp dụng các công nghệ tiên tiến nhiều cơ hội thăng tiến và phát triển.- Cung cấp đầy đủ trang thiết bị làm việc- Được hưởng đầy đủ các chế độ BHYT, BHXH, BHTN.- Du lịch hàng năm, teambuilding, event.","Tầng 4 Tòa nhà Garden Hill 99 Trần Bình , Mỹ Đình 2 , Nam Từ Liêm , Hà Nội","20,000,000","40,000,000"
Quản Lý Cửa Hàng Thời Trang,1-3 năm,05/01/2023,"-Chịu trách nhiệm toàn bộ hàng hóa, nhân viên trong Showroom-Chịu trách nhiệm hàng hóa, doanh số trong showroom-Kiểm tra cách trưng bày hàng hóa sao cho bắt mắt và thường xuyên thay đổi.-Sắp xếp lịch làm việc cho nhân viên hàng tuần.-Có kế hoạch Chăm sóc khách hàng offline, online thường xuyên thúc đẩy doanh số bán hàng-Phối hợp cùng phòng kế toán công ty kiểm tra hàng hóa theo lịch đình kỳ","- Nam,nữ độ tuổi từ 28-35 . Ngoại hình ưa nhìn. Có gu ăn mặc là một lợi thế- Có 2 năm kinh nghiệm quản lý lĩnh vực thời trang, bán lẻ- Khả năng sale tốt.","Thu nhập = 9 - 15tr/tháng (LCB + % doanh số + phụ cấp)- Được tham giá BHXH,BHYT- Được thưởng lễ tết","Số 111, đường Nguyễn Văn Huyên, Phường Quan Hoa, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","5,000,000","10,000,000"
